R134a - TetraFlouroEthane Saturation Properties - Pressure Table,,,,,,,,,
Pressure,Temp,volume (m^3/kg),,enthalpy (kJ/kg),,,entropy (kJ/kg.K),,
kPa,Â°C,vf,vg,hf,hfg,hg,sf,sfg,sg
60,-36.9,0.0007098,0.3112,3.9,223.9,227.8,0.0164,0.9481,0.9645
80,-31.1,0.0007185,0.2376,11.3,220.2,231.5,0.0472,0.91,0.9572
100,-26.4,0.0007259,0.1926,17.3,217.2,234.5,0.072,0.8799,0.9519
120,-22.3,0.0007324,0.1621,22.5,214.5,237,0.0928,0.855,0.9478
140,-18.8,0.0007383,0.1402,27.1,212.1,239.2,0.111,0.8337,0.9446
160,-15.6,0.0007437,0.1235,31.2,209.9,241.1,0.127,0.815,0.942
180,-12.7,0.0007487,0.1104,35,207.9,242.9,0.1415,0.7982,0.9397
200,-10.1,0.0007534,0.0999,38.5,206,244.5,0.1547,0.7831,0.9378
220,-7.6,0.0007578,0.0912,41.7,204.3,245.9,0.1668,0.7693,0.9361
240,-5.4,0.000762,0.0839,44.7,202.6,247.3,0.178,0.7566,0.9347
260,-3.2,0.0007661,0.0777,47.5,201,248.6,0.1885,0.7448,0.9333
280,-1.2,0.0007699,0.0724,50.2,199.5,249.7,0.1984,0.7338,0.9322
300,0.7,0.0007737,0.0677,52.8,198.1,250.9,0.2077,0.7234,0.9311
320,2.5,0.0007773,0.0636,55.2,196.7,251.9,0.2165,0.7137,0.9301
340,4.2,0.0007808,0.06,57.5,195.4,252.9,0.2248,0.7044,0.9293
360,5.8,0.0007842,0.0567,59.8,194.1,253.8,0.2328,0.6956,0.9284
400,8.9,0.0007907,0.0512,64,191.6,255.6,0.2477,0.6793,0.927
500,15.7,0.000806,0.0411,73.4,186,259.3,0.2803,0.6438,0.9241
600,21.6,0.00082,0.0343,81.5,180.9,262.4,0.3081,0.6138,0.9219
700,26.7,0.0008332,0.0294,88.8,176.2,265.1,0.3324,0.5876,0.92
800,31.3,0.0008459,0.0256,95.5,171.8,267.3,0.3541,0.5643,0.9184
900,35.5,0.0008581,0.0227,101.6,167.7,269.3,0.3739,0.5431,0.917
1000,39.4,0.0008701,0.0203,107.4,163.7,271,0.392,0.5237,0.9157
1200,46.3,0.0008935,0.0167,117.8,156.1,273.9,0.4245,0.4886,0.9131
1400,52.4,0.0009167,0.0141,127.3,148.9,276.2,0.4533,0.4573,0.9106
1600,57.9,0.0009401,0.0121,136,141.9,277.9,0.4792,0.4287,0.908
1800,62.9,0.000964,0.0106,144.1,135.1,279.2,0.5031,0.402,0.9051
2000,67.5,0.0009888,0.0093,151.8,128.3,280.1,0.5252,0.3767,0.902
2500,77.6,0.0010569,0.0069,169.7,111.2,280.9,0.5755,0.317,0.8925
3000,86.2,0.0011413,0.0053,186.6,92.6,279.2,0.6215,0.2578,0.8792
